2024-05-18 18:03:41,732 | INFO | {'47100': ['shell'], '53124444': ['oxy', 'leclerc'], '67200001': ['ikea', 'essence', 'relais']}
2024-05-18 18:07:38,446 | INFO | {'47100': ['shell'], '53124444': ['oxy', 'leclerc'], '67200001': ['ikea', 'essence', 'relais']}
2024-05-18 18:07:38,447 | INFO | ********
2024-05-18 18:07:38,533 | INFO | ********
2024-05-18 18:07:38,534 | INFO | ********
2024-05-18 18:07:38,534 | INFO | ********
2024-05-18 18:08:06,256 | INFO | {'47100': ['shell'], '53124444': ['oxy', 'leclerc'], '67200001': ['ikea', 'essence', 'relais']}
2024-05-18 18:08:06,257 | INFO | ********
2024-05-18 18:08:06,334 | INFO | ********
2024-05-18 18:08:06,335 | INFO | ********
2024-05-18 18:08:06,337 | INFO | ********
2024-05-18 18:09:07,151 | INFO | {'47100': ['shell'], '53124444': ['oxy', 'leclerc'], '67200001': ['ikea', 'essence', 'relais']}
2024-05-18 18:09:07,151 | INFO | ********
2024-05-18 18:09:07,165 | INFO | ********
2024-05-18 18:09:07,167 | INFO | ********
2024-05-18 18:09:07,168 | INFO | ********
2024-05-18 18:13:15,748 | INFO | ********
2024-05-18 18:13:15,758 | INFO | ********
2024-05-18 18:13:15,759 | INFO | ********
2024-05-18 18:13:15,760 | INFO | ********
2024-05-18 18:33:25,199 | INFO | {'47100': ['shell'], '53124444': ['oxy', 'leclerc'], '67200001': ['ikea', 'essence', 'relais']}
2024-05-18 18:44:58,671 | INFO | {'47100': ['shell'], '53124444': ['oxy', 'leclerc'], '67200001': ['ikea', 'essence', 'relais']}
2024-05-18 18:46:05,043 | INFO | {'47100': ['shell'], '53124444': ['oxy', 'leclerc'], '67200001': ['ikea', 'essence', 'relais']}
2024-05-18 18:47:06,096 | INFO | {'47100': ['shell'], '53124444': ['oxy', 'leclerc'], '67200001': ['ikea', 'essence', 'relais']}
2024-05-18 18:47:54,012 | INFO | {'47100': ['shell'], '53124444': ['oxy', 'leclerc'], '67200001': ['ikea', 'essence', 'relais']}
2024-05-18 18:48:17,122 | INFO | {'47100': ['shell'], '53124444': ['oxy', 'leclerc'], '67200001': ['ikea', 'essence', 'relais']}
2024-05-18 18:52:41,506 | ERROR | {'47100': ['shell'], '53124444': ['oxy', 'leclerc'], '67200001': ['ikea', 'essence', 'relais']}
